date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:14	3707/3707	---M--	200	added ('OK')	image/png	etag:%225ac04077-e7b%22	https://nusan.itch.io/static/images/frog-gold.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/static/images/frog-gold.png	(from https://nusan.itch.io/combo-pool)
19:21:19	3698/3698	---M--	200	added ('OK')	image/png	etag:%225ac04077-e72%22	https://nusan.itch.io/static/images/frog-blue.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/static/images/frog-blue.png	(from https://nusan.itch.io/combo-pool)
19:21:21	1751/1751	---M--	200	added ('OK')	image/png	etag:1514771111	https://img.itch.zone/aW1hZ2UyL3VzZXIvMjUwMTEwLzk4ODkwOS5wbmc=/25x25%23/GTdhlJ.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMjUwMTEwLzk4ODkwOS5wbmc=/25x25#/GTdhlJ.png	(from https://nusan.itch.io/combo-pool)
19:21:25	563/563	---M--	200	added ('OK')	image/jpeg	etag:1501816141	https://img.itch.zone/aW1hZ2UyL3VzZXIvMjEwNzY5LzM2MTc5Ny5qcGc=/25x25%23/4eqJzL.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMjEwNzY5LzM2MTc5Ny5qcGc=/25x25#/4eqJzL.jpg	(from https://nusan.itch.io/combo-pool)
19:21:28	25/25	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Apr%202018%2002:21:29%20GMT	https://img.itch.zone/aW1hZ2UyL3VzZXIvMzA2MjUvODM3NzExLnBuZw==/25x25%23/+47M+l.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMzA2MjUvODM3NzExLnBuZw==/25x25#/+47M+l.png	(from https://nusan.itch.io/combo-pool)
19:21:31	557/557	---M--	200	added ('OK')	image/jpeg	etag:1508823214	https://img.itch.zone/aW1hZ2UyL3VzZXIvMjE5NTg0LzM3MjkzNC5qcGc=/25x25%23/EKkbeQ.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMjE5NTg0LzM3MjkzNC5qcGc=/25x25#/EKkbeQ.jpg	(from https://nusan.itch.io/combo-pool)
19:21:33	25/25	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Apr%202018%2002:21:33%20GMT	https://img.itch.zone/aW1hZ2UyL3VzZXIvMTE2NDM5LzM4MzQzNy5naWY=/25x25%23/F+AxSg.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMTE2NDM5LzM4MzQzNy5naWY=/25x25#/F+AxSg.gif	(from https://nusan.itch.io/combo-pool)
19:21:35	2303/2303	---M--	200	added ('OK')	image/png	etag:1508333374	https://img.itch.zone/aW1hZ2UyL3VzZXIvMTQ0LzQzODE1LnBuZw==/25x25%23/8xaHC4.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMTQ0LzQzODE1LnBuZw==/25x25#/8xaHC4.png	(from https://nusan.itch.io/combo-pool)
19:21:37	2401/2401	---M--	200	added ('OK')	image/gif	etag:1508278006	https://img.itch.zone/aW1hZ2UyL3VzZXIvMjA3MzMzLzczMzQ0Mi5naWY=/25x25%23/%2FeEVAW.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMjA3MzMzLzczMzQ0Mi5naWY=/25x25#/eEVAW.gif	(from https://nusan.itch.io/combo-pool)
19:21:41	1067/1067	---M--	200	added ('OK')	image/jpeg	etag:1508823214	https://img.itch.zone/aW1hZ2UyL3VzZXIvMjA1MzQxLzYzMDU3NS5qcGc=/25x25%23/bAEemi.jpg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMjA1MzQxLzYzMDU3NS5qcGc=/25x25#/bAEemi.jpg	(from https://nusan.itch.io/combo-pool)
19:21:42	4483/4483	---M--	200	added ('OK')	image/png	etag:1522203894	https://img.itch.zone/aW1hZ2UyL3VzZXIvMTc3Ny8zNTI3MzcucG5n/25x25%23/%2F9xblc.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UyL3VzZXIvMTc3Ny8zNTI3MzcucG5n/25x25#/9xblc.png	(from https://nusan.itch.io/combo-pool)
19:21:44	3623/3623	---M--	200	added ('OK')	image/png	etag:%225ac04077-e27%22	https://nusan.itch.io/static/images/frog-cyan.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/nusan.itch.io/static/images/frog-cyan.png	(from https://nusan.itch.io/combo-pool)
19:21:56	982938/982938	---M--	200	added ('OK')	image/gif	etag:1523931709	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/original/BF2Htm.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/original/BF2Htm.gif	(from https://nusan.itch.io/combo-pool)
19:21:57	25/25	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Apr%202018%2002:21:57%20GMT	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/original/SL+QUe.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/original/SL+QUe.png	(from https://nusan.itch.io/combo-pool)
19:21:57	982938/982938	---M--	200	added ('OK')	image/gif	etag:1520132071	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/347x500/xzqH1o.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIxLmdpZg==/347x500/xzqH1o.gif	(from https://nusan.itch.io/combo-pool)
19:21:59	74459/74459	---M--	200	added ('OK')	image/png	etag:1520132071	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/347x500/EgPd0W.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIyLnBuZw==/347x500/EgPd0W.png	(from https://nusan.itch.io/combo-pool)
19:21:59	1763951/1763951	---M--	200	added ('OK')	image/gif	etag:1523931707	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/original/nr61WB.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/original/nr61WB.gif	(from https://nusan.itch.io/combo-pool)
19:22:01	1763951/1763951	---M--	200	added ('OK')	image/gif	etag:1520132071	https://img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/347x500/Io4jaE.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/img.itch.zone/aW1hZ2UvNzUxNTIvMzQ4MTIwLmdpZg==/347x500/Io4jaE.gif	(from https://nusan.itch.io/combo-pool)
19:22:05	11733/11733	---M--	200	added ('OK')	image/png	etag:%225ac04077-2dd5%22	https://itch.io/static/lib/farbtastic/wheel.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/lib/farbtastic/wheel.png	(from https://itch.io/static/game.css?1523929262)
19:22:09	2020/2020	---M--	200	added ('OK')	image/png	etag:%225ac04077-7e4%22	https://itch.io/static/lib/farbtastic/mask.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/lib/farbtastic/mask.png	(from https://itch.io/static/game.css?1523929262)
19:22:12	652/652	---M--	200	added ('OK')	image/png	etag:%225ac04077-28c%22	https://itch.io/static/lib/farbtastic/marker.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/lib/farbtastic/marker.png	(from https://itch.io/static/game.css?1523929262)
19:22:14	1849/1849	---M--	200	added ('OK')	image/gif	etag:%225ac04077-739%22	https://itch.io/static/loader.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/loader.gif	(from https://itch.io/static/game.css?1523929262)
19:22:16	1849/1849	---M--	200	added ('OK')	image/gif	etag:%225ac04077-739%22	https://itch.io/static/loader-dark.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/loader-dark.gif	(from https://itch.io/static/game.css?1523929262)
19:22:19	6820/6820	---M--	200	added ('OK')	image/gif	etag:%225ac04077-1aa4%22	https://itch.io/static/loader-huge.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/loader-huge.gif	(from https://itch.io/static/game.css?1523929262)
19:22:22	404/404	---M--	200	added ('OK')	image/gif	etag:%225ac04077-194%22	https://itch.io/static/cc-loader.gif	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/cc-loader.gif	(from https://itch.io/static/game.css?1523929262)
19:22:40	2691/2691	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-a83%22	https://itch.io/static/images/loading.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/loading.svg	(from https://itch.io/static/game.css?1523929262)
19:22:50	521/521	---M--	200	added ('OK')	image/png	etag:%225ac04077-209%22	https://itch.io/static/images/popup-tick-right.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/popup-tick-right.png	(from https://itch.io/static/game.css?1523929262)
19:22:53	506/506	---M--	200	added ('OK')	image/png	etag:%225ac04077-1fa%22	https://itch.io/static/images/popup-tick-left.png	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/popup-tick-left.png	(from https://itch.io/static/game.css?1523929262)
19:22:57	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://itch.io/static/fonts/04b03.eot	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/fonts/04b03.eot	(from https://itch.io/static/game.css?1523929262)
19:22:58	17514/17514	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-446a%22	https://itch.io/static/fonts/04b03.eot?	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/fonts/04b03d41d.eot	(from https://itch.io/static/game.css?1523929262)
19:23:00	4888/4888	---M--	200	added ('OK')	text/plain	etag:%225ac04077-1318%22	https://itch.io/static/fonts/04b03.woff2	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/fonts/04b03.woff2	(from https://itch.io/static/game.css?1523929262)
19:23:02	6488/6488	---M--	200	added ('OK')	text/plain	etag:%225ac04077-1958%22	https://itch.io/static/fonts/04b03.woff	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/fonts/04b03.woff	(from https://itch.io/static/game.css?1523929262)
19:23:02	17304/17304	---M--	200	added ('OK')	text/plain	etag:%225ac04077-4398%22	https://itch.io/static/fonts/04b03.ttf	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/fonts/04b03.ttf	(from https://itch.io/static/game.css?1523929262)
19:23:21	4327/4327	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-10e7%22	https://itch.io/static/images/logo-white-new.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/logo-white-new.svg	(from https://itch.io/static/game.css?1523929262)
19:23:24	5866/5866	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-16ea%22	https://itch.io/static/images/logo-white-new-halloween.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/logo-white-new-halloween.svg	(from https://itch.io/static/game.css?1523929262)
19:23:26	2368/2368	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-940%22	https://itch.io/static/images/itchio-textless-white.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/itchio-textless-white.svg	(from https://itch.io/static/game.css?1523929262)
19:23:26	35251/35251	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-89b3%22	https://itch.io/static/images/logo-textless-white-holiday.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/logo-textless-white-holiday.svg	(from https://itch.io/static/game.css?1523929262)
19:23:29	3782/3782	---M--	200	added ('OK')	image/svg+xml	etag:%225ac04077-ec6%22	https://itch.io/static/images/itchio-textless-white-halloween.svg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/images/itchio-textless-white-halloween.svg	(from https://itch.io/static/game.css?1523929262)
19:23:33	12688/12688	---M--	200	added ('OK')	application/octet-stream	etag:%225ac04077-3190%22	https://itch.io/static/icons/fonts/icomoon.eot?4ibnvg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/icons/fonts/icomoon053c.eot	(from https://itch.io/static/game.css?1523929262)
19:23:36	12524/12524	---M--	200	added ('OK')	text/plain	etag:%225ac04077-30ec%22	https://itch.io/static/icons/fonts/icomoon.ttf?4ibnvg	C:/users/crossover/Desktop/My%20Android%20Downloads/Combo%20Pool/itch.io/static/icons/fonts/icomoon053c.ttf	(from https://itch.io/static/game.css?1523929262)
